id,r,g,b
826,195,0,0
250,50,80,210
840,66,94,193
276,160,170,170
616,197,92,106
703,158,161,188
203,43,89,202
040,226,133,129
380,125,171,84
724,231,181,12
620,57,160,101
643,57,105,49
804,212,179,47
076,129,177,125
484,173,242,175
156,238,28,37
356,247,155,53
792,255,80,65
124,255,110,100
752,95,95,145
578,117,165,188
246,215,222,252
642,200,190,126
756,170,43,43
364,10,95,220
398,0,175,202
818,255,205,155
710,200,118,17
032,117,170,219
068,97,209,251
152,236,159,89
604,218,18,26
218,43,141,172
170,255,234,168
862,255,176,140
192,87,92,104
328,143,111,117
208,155,0,90
304,219,219,219
352,62,129,155
372,112,150,105
112,172,170,170
